CODIGO DANE,DEPARTAMENTO,MUNICIPIO
99,OTRO,NO RESIDENTE EN EL PAIS
5001,ANTIOQUIA,MEDELLIN
5002,ANTIOQUIA,ABEJORRAL
5004,ANTIOQUIA,ABRIAQUI
5021,ANTIOQUIA,ALEJANDRIA
5030,ANTIOQUIA,AMAGA
5031,ANTIOQUIA,AMALFI
5034,ANTIOQUIA,ANDES
5036,ANTIOQUIA,ANGELOPOLIS
5038,ANTIOQUIA,ANGOSTURA
5040,ANTIOQUIA,ANORI
5042,ANTIOQUIA,SANTAFE DE ANTIOQUIA
5044,ANTIOQUIA,ANZA
5045,ANTIOQUIA,APARTADO
5051,ANTIOQUIA,ARBOLETES
5055,ANTIOQUIA,ARGELIA
5059,ANTIOQUIA,ARMENIA
5079,ANTIOQUIA,BARBOSA
5086,ANTIOQUIA,BELMIRA
5088,ANTIOQUIA,BELLO
5091,ANTIOQUIA,BETANIA
5093,ANTIOQUIA,BETULIA
5101,ANTIOQUIA,CIUDAD BOLIVAR
5107,ANTIOQUIA,BRICEÑO
5113,ANTIOQUIA,BURITICA
5120,ANTIOQUIA,CACERES
5125,ANTIOQUIA,CAICEDO
5129,ANTIOQUIA,CALDAS
5134,ANTIOQUIA,CAMPAMENTO
5138,ANTIOQUIA,CAÑASGORDAS
5142,ANTIOQUIA,CARACOLI
5145,ANTIOQUIA,CARAMANTA
5147,ANTIOQUIA,CAREPA
5148,ANTIOQUIA,EL CARMEN DE VIBORAL
5150,ANTIOQUIA,CAROLINA
5154,ANTIOQUIA,CAUCASIA
5172,ANTIOQUIA,CHIGORODO
5190,ANTIOQUIA,CISNEROS
5197,ANTIOQUIA,COCORNA
5206,ANTIOQUIA,CONCEPCION
5209,ANTIOQUIA,CONCORDIA
5212,ANTIOQUIA,COPACABANA
5234,ANTIOQUIA,DABEIBA
5237,ANTIOQUIA,DON MATIAS
5240,ANTIOQUIA,EBEJICO
5250,ANTIOQUIA,EL BAGRE
5264,ANTIOQUIA,ENTRERRIOS
5266,ANTIOQUIA,ENVIGADO
5282,ANTIOQUIA,FREDONIA
5284,ANTIOQUIA,FRONTINO
5306,ANTIOQUIA,GIRALDO
