,DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,CANTIDAD
0,PUTUMAYO,MOCOA,86001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-01-05,1
1,ARAUCA,TAME,81794,ARTEFACTO INCENDIARIO,2010-01-06,1
2,META,VILLAVICENCIO,50001,GRANADA DE MANO,2010-01-06,1
3,ARAUCA,FORTUL,81300,CILINDRO BOMBA,2010-01-07,1
4,META,URIBE,50370,MINA ANTIPERSONA,2010-01-11,1
5,PUTUMAYO,MOCOA,86001,COMBUSTIBLE,2010-01-13,1
6,META,PUERTO RICO,50590,MINA ANTIPERSONA,2010-01-14,1
7,VALLE DEL CAUCA,BUENAVENTURA,76109,OLLA BOMBA,2010-01-14,1
8,ARAUCA,ARAUQUITA,81065,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-01-15,1
9,META,URIBE,50370,GRANADA DE MANO,2010-01-15,1
10,LA GUAJIRA,BARRANCAS,44078,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-01-17,1
11,ANTIOQUIA,MEDELLIN,5001,GRANADA DE MANO,2010-01-18,1
12,TOLIMA,IBAGUÉ,73001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-01-18,1
13,META,GRANADA,50313,GRANADA DE MANO,2010-01-19,1
14,META,MESETAS,50330,GRANADA DE MANO,2010-01-19,1
15,ANTIOQUIA,URRAO,5847,ARTEFACTO INCENDIARIO,2010-01-20,1
16,HUILA,NEIVA,41001,GRANADA DE MANO,2010-01-20,1
17,VALLE DEL CAUCA,BUENAVENTURA,76109,PAQUETE BOMBA,2010-01-20,1
18,ARAUCA,SARAVENA,81736,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-01-21,1
19,CAUCA,SANTANDER DE QUILICHAO,19698,PAQUETE BOMBA,2010-01-21,1
20,PUTUMAYO,PUERTO ASÍS,86568,GRANADA DE MANO,2010-01-22,1
21,ANTIOQUIA,GUADALUPE,5315,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-01-25,1
22,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-01-28,1
23,SANTANDER,ONZAGA,68502,NO REPORTADO,2010-01-31,1
24,ANTIOQUIA,MEDELLIN,5001,GRANADA DE MANO,2010-02-02,1
25,HUILA,PITALITO,41551,ARTEFACTO INCENDIARIO,2010-02-02,1
26,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-02-05,1
27,META,URIBE,50370,GRANADA DE MANO,2010-02-06,1
28,NARIÑO,SAMANIEGO,52678,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-02-07,1
29,META,URIBE,50370,MINA ANTIPERSONA,2010-02-09,1
30,ANTIOQUIA,BELLO,5088,GRANADA DE MANO,2010-02-10,1
31,HUILA,NEIVA,41001,GRANADA DE MANO,2010-02-11,1
32,ARAUCA,ARAUQUITA,81065,COMBUSTIBLE,2010-02-12,1
33,GUAVIARE,SAN JOSÉ DEL GUAVIARE,95001,NO REPORTADO,2010-02-13,1
