DPNOM,DPMP,MPIO,AÑO,ÁREA GEOGRÁFICA,Total
Antioquia,05001,Medellín,2018,Total,2.427.129
Antioquia,05002,Abejorral,2018,Total,20.367
Antioquia,05004,Abriaquí,2018,Total,2.695
Antioquia,05021,Alejandría,2018,Total,4.657
Antioquia,05030,Amagá,2018,Total,30.227
Antioquia,05031,Amalfi,2018,Total,25.962
Antioquia,05034,Andes,2018,Total,43.269
Antioquia,05036,Angelópolis,2018,Total,5.756
Antioquia,05038,Angostura,2018,Total,11.437
Antioquia,05040,Anorí,2018,Total,18.321
Antioquia,05042,Santafé de Antioquia,2018,Total,26.164
Antioquia,05044,Anzá,2018,Total,7.010
Antioquia,05045,Apartadó,2018,Total,121.003
Antioquia,05051,Arboletes,2018,Total,29.295
Antioquia,05055,Argelia,2018,Total,7.689
Antioquia,05059,Armenia,2018,Total,5.139
Antioquia,05079,Barbosa,2018,Total,51.969
Antioquia,05086,Belmira,2018,Total,6.000
Antioquia,05088,Bello,2018,Total,522.264
Antioquia,05091,Betania,2018,Total,10.323
Antioquia,05093,Betulia,2018,Total,15.607
Antioquia,05101,Ciudad Bolívar,2018,Total,26.118
Antioquia,05107,Briceño,2018,Total,8.039
Antioquia,05113,Buriticá,2018,Total,9.354
Antioquia,05120,Cáceres,2018,Total,28.996
Antioquia,05125,Caicedo,2018,Total,8.297
Antioquia,05129,Caldas,2018,Total,79.638
Antioquia,05134,Campamento,2018,Total,9.203
Antioquia,05138,Cañasgordas,2018,Total,15.523
Antioquia,05142,Caracolí,2018,Total,4.582
Antioquia,05145,Caramanta,2018,Total,4.743
Antioquia,05147,Carepa,2018,Total,47.932
Antioquia,05148,El Carmen de Viboral,2018,Total,59.416
Antioquia,05150,Carolina,2018,Total,3.954
Antioquia,05154,Caucasia,2018,Total,90.213
Antioquia,05172,Chigorodó,2018,Total,57.375
Antioquia,05190,Cisneros,2018,Total,9.775
Antioquia,05197,Cocorná,2018,Total,15.444
Antioquia,05206,Concepción,2018,Total,4.797
Antioquia,05209,Concordia,2018,Total,21.377
Antioquia,05212,Copacabana,2018,Total,77.884
Antioquia,05234,Dabeiba,2018,Total,23.044
Antioquia,05237,Donmatías,2018,Total,18.902
Antioquia,05240,Ebéjico,2018,Total,12.158
Antioquia,05250,El Bagre,2018,Total,51.862
Antioquia,05264,Entrerríos,2018,Total,11.159
Antioquia,05266,Envigado,2018,Total,228.848
Antioquia,05282,Fredonia,2018,Total,24.408
Antioquia,05284,Frontino,2018,Total,20.739
Antioquia,05306,Giraldo,2018,Total,5.544
Antioquia,05308,Girardota,2018,Total,51.662
Antioquia,05310,Gómez Plata,2018,Total,9.753
Antioquia,05313,Granada,2018,Total,10.117
Antioquia,05315,Guadalupe,2018,Total,6.560
Antioquia,05318,Guarne,2018,Total,55.121
Antioquia,05321,Guatapé,2018,Total,8.363
Antioquia,05347,Heliconia,2018,Total,5.451
Antioquia,05353,Hispania,2018,Total,5.469
Antioquia,05360,Itagüí,2018,Total,276.744
Antioquia,05361,Ituango,2018,Total,27.074
Antioquia,05364,Jardín,2018,Total,14.518
Antioquia,05368,Jericó,2018,Total,13.640
Antioquia,05376,La Ceja,2018,Total,64.889
Antioquia,05380,La Estrella,2018,Total,71.545
Antioquia,05390,La Pintada,2018,Total,8.114
Antioquia,05400,La Unión,2018,Total,21.475
Antioquia,05411,Liborina,2018,Total,10.028
Antioquia,05425,Maceo,2018,Total,8.221
Antioquia,05440,Marinilla,2018,Total,64.645
Antioquia,05467,Montebello,2018,Total,6.680
Antioquia,05475,Murindó,2018,Total,4.911
Antioquia,05480,Mutatá,2018,Total,13.991
Antioquia,05483,Nariño,2018,Total,10.153
Antioquia,05490,Necoclí,2018,Total,42.281
Antioquia,05495,Nechí,2018,Total,25.790
Antioquia,05501,Olaya,2018,Total,3.127
Antioquia,05541,Peñol,2018,Total,21.049
Antioquia,05543,Peque,2018,Total,8.097
Antioquia,05576,Pueblorrico,2018,Total,8.664
Antioquia,05579,Puerto Berrío,2018,Total,39.314
Antioquia,05585,Puerto Nare,2018,Total,14.380
Antioquia,05591,Puerto Triunfo,2018,Total,18.055
Antioquia,05604,Remedios,2018,Total,28.415
Antioquia,05607,Retiro,2018,Total,23.514
Antioquia,05615,Rionegro,2018,Total,135.465
Antioquia,05628,Sabanalarga,2018,Total,9.032
Antioquia,05631,Sabaneta,2018,Total,82.375
Antioquia,05642,Salgar,2018,Total,18.258
Antioquia,05647,San Andrés de Cuerquía,2018,Total,7.235
Antioquia,05649,San Carlos,2018,Total,16.247
Antioquia,05652,San Francisco,2018,Total,5.648
Antioquia,05656,San Jerónimo,2018,Total,15.361
Antioquia,05658,San José de La Montaña,2018,Total,3.646
Antioquia,05659,San Juan de Urabá,2018,Total,20.093
Antioquia,05660,San Luis,2018,Total,12.995
Antioquia,05664,San Pedro de Los Milagros,2018,Total,21.949
Antioquia,05665,San Pedro de Urabá,2018,Total,30.932
Antioquia,05667,San Rafael,2018,Total,15.698
