DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,TIPO DE HURTO,CANTIDAD
HUILA,CAMPOALEGRE,41132000,NO REPORTA,1/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
META,SAN JUAN DE ARAMA,50683000,NO REPORTA,1/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACÁ,BELÉN,15087000,NO REPORTA,2/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,PORE,85263000,NO REPORTA,2/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,MADRID,25430000,ARMA DE FUEGO,3/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
SANTANDER,PIEDECUESTA,68547000,ARMA DE FUEGO,3/01/2010,NO REPORTA,NO REPORTA,HURTO PIRATERÍA TERRESTRE,1
CALDAS,NEIRA,17486000,NO REPORTA,3/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,POPAYÁN (CT),19001000,NO REPORTA,3/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,SAN MARTÍN,50689000,NO REPORTA,3/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,MADRID,25430000,ARMA DE FUEGO,4/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
VALLE,SAN PEDRO,76670000,ARMA DE FUEGO,4/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
ANTIOQUIA,CHIGORODÓ,05172000,NO REPORTA,4/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,SAN MARTÍN,50689000,NO REPORTA,4/01/2010,FEMENINO,ADOLESCENTES,HURTO ABIGEATO,1
RISARALDA,PEREIRA (CT),66001000,NO REPORTA,4/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,BELLO,05088000,ARMA DE FUEGO,5/01/2010,NO REPORTA,NO REPORTA,HURTO PIRATERÍA TERRESTRE,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA DE FUEGO,5/01/2010,NO REPORTA,NO REPORTA,HURTO PIRATERÍA TERRESTRE,1
CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753000,NO REPORTA,5/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,FLORIÁN,68271000,NO REPORTA,5/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SAMPUÉS,70670000,NO REPORTA,5/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,BELLO,05088000,ARMA DE FUEGO,6/01/2010,NO REPORTA,NO REPORTA,HURTO PIRATERÍA TERRESTRE,1
ANTIOQUIA,CALDAS,05129000,ARMA DE FUEGO,6/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA DE FUEGO,6/01/2010,NO REPORTA,NO REPORTA,HURTO PIRATERÍA TERRESTRE,1
SUCRE,PALMITO,70523000,ARMA BLANCA / CORTOPUNZANTE,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ATLÁNTICO,SABANAGRANDE,08634000,ARMA DE FUEGO,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE,CARTAGO,76147000,ARMA DE FUEGO,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACÁ,CÓMBITA,15204000,NO REPORTA,6/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
GUAJIRA,MAICAO,44430000,NO REPORTA,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,PITALITO,41551000,NO REPORTA,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
MAGDALENA,EL BANCO,47245000,NO REPORTA,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,VILLAVICENCIO (CT),50001000,NO REPORTA,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
NORTE DE SANTANDER,MUTISCUA,54480000,NO REPORTA,6/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,PUENTE NACIONAL,68572000,NO REPORTA,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SAN ONOFRE,70713000,NO REPORTA,6/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,7/01/2010,NO REPORTA,NO REPORTA,HURTO PIRATERÍA TERRESTRE,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA DE FUEGO,7/01/2010,NO REPORTA,NO REPORTA,HURTO PIRATERÍA TERRESTRE,1
CALDAS,LA DORADA,17380000,ARMA DE FUEGO,7/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
