,FECHA HECHO,COD_DEPTO,DEPARTAMENTO,CODIGO DANE,MUNICIPIO,TIPO DELITO,CANTIDAD,MES DE SECUESTRO
0,1996-01-01,5,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,SECUESTRO SIMPLE,1,1
1,1996-01-01,25,CUNDINAMARCA,25290,FUSAGASUGA,SECUESTRO EXTORSIVO,1,1
2,1996-01-02,5,ANTIOQUIA,5038,ANGOSTURA,SECUESTRO EXTORSIVO,1,1
3,1996-01-02,5,ANTIOQUIA,5088,BELLO,SECUESTRO EXTORSIVO,1,1
4,1996-01-02,11,CUNDINAMARCA,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1,1
5,1996-01-02,68,SANTANDER,68001,BUCARAMANGA,SECUESTRO EXTORSIVO,1,1
6,1996-01-03,11,CUNDINAMARCA,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1,1
7,1996-01-04,5,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,1,1
8,1996-01-04,18,CAQUETÁ,18592,PUERTO RICO,SECUESTRO EXTORSIVO,1,1
9,1996-01-04,63,QUINDÍO,63001,ARMENIA,SECUESTRO EXTORSIVO,1,1
10,1996-01-05,5,ANTIOQUIA,5088,BELLO,SECUESTRO EXTORSIVO,1,1
11,1996-01-05,11,CUNDINAMARCA,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1,1
12,1996-01-05,25,CUNDINAMARCA,25377,LA CALERA,SECUESTRO EXTORSIVO,1,1
13,1996-01-06,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,1,1
14,1996-01-06,5,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,2,1
15,1996-01-07,5,ANTIOQUIA,5761,SOPETRAN,SECUESTRO EXTORSIVO,1,1
16,1996-01-08,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,3,1
17,1996-01-08,5,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,2,1
18,1996-01-08,5,ANTIOQUIA,5045,APARTADO,SECUESTRO EXTORSIVO,1,1
19,1996-01-08,44,LA GUAJIRA,44874,VILLANUEVA,SECUESTRO EXTORSIVO,2,1
20,1996-01-09,41,HUILA,41306,GIGANTE,SECUESTRO EXTORSIVO,1,1
21,1996-01-09,81,ARAUCA,81591,PUERTO RONDON,SECUESTRO EXTORSIVO,1,1
22,1996-01-10,5,ANTIOQUIA,5042,SANTAFE DE ANTIOQUIA,SECUESTRO EXTORSIVO,2,1
23,1996-01-10,5,ANTIOQUIA,5045,APARTADO,SECUESTRO EXTORSIVO,2,1
24,1996-01-10,8,ATLÁNTICO,8001,BARRANQUILLA,SECUESTRO EXTORSIVO,1,1
25,1996-01-11,15,BOYACÁ,15572,PUERTO BOYACA,SECUESTRO EXTORSIVO,1,1
26,1996-01-11,41,HUILA,41132,CAMPOALEGRE,SECUESTRO EXTORSIVO,1,1
27,1996-01-12,20,CESAR,20175,CHIMICHAGUA,SECUESTRO EXTORSIVO,1,1
28,1996-01-13,11,CUNDINAMARCA,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1,1
29,1996-01-13,54,NORTE DE SANTANDER,54001,CUCUTA,SECUESTRO EXTORSIVO,1,1
30,1996-01-14,20,CESAR,20517,PAILITAS,SECUESTRO EXTORSIVO,1,1
31,1996-01-15,18,CAQUETÁ,18001,FLORENCIA,SECUESTRO EXTORSIVO,1,1
32,1996-01-16,11,CUNDINAMARCA,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,2,1
33,1996-01-16,68,SANTANDER,68547,PIEDECUESTA,SECUESTRO EXTORSIVO,1,1
34,1996-01-17,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,4,1
35,1996-01-17,20,CESAR,20614,RIO DE ORO,SECUESTRO EXTORSIVO,1,1
36,1996-01-17,41,HUILA,41020,ALGECIRAS,SECUESTRO EXTORSIVO,1,1
37,1996-01-17,47,MAGDALENA,47058,ARIGUANI,SECUESTRO EXTORSIVO,1,1
38,1996-01-17,54,NORTE DE SANTANDER,54498,OCAÑA,SECUESTRO EXTORSIVO,1,1
39,1996-01-18,5,ANTIOQUIA,5847,URRAO,SECUESTRO EXTORSIVO,1,1
40,1996-01-18,11,CUNDINAMARCA,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1,1
41,1996-01-18,54,NORTE DE SANTANDER,54498,OCAÑA,SECUESTRO EXTORSIVO,1,1
42,1996-01-18,68,SANTANDER,68547,PIEDECUESTA,SECUESTRO EXTORSIVO,1,1
43,1996-01-18,70,SUCRE,70265,GUARANDA,SECUESTRO EXTORSIVO,1,1
44,1996-01-19,11,CUNDINAMARCA,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1,1
45,1996-01-19,50,META,50124,CABUYARO,SECUESTRO EXTORSIVO,1,1
46,1996-01-20,5,ANTIOQUIA,5642,SALGAR,SECUESTRO EXTORSIVO,1,1
47,1996-01-20,85,CASANARE,85162,MONTERREY,SECUESTRO EXTORSIVO,1,1
48,1996-01-21,5,ANTIOQUIA,5664,SAN PEDRO,SECUESTRO EXTORSIVO,1,1
49,1996-01-21,8,ATLÁNTICO,8638,SABANALARGA,SECUESTRO EXTORSIVO,1,1
50,1996-01-21,20,CESAR,20710,SAN ALBERTO,SECUESTRO EXTORSIVO,2,1
